CUST_ID,age,workclass,education,educational-num,marital-status,occupation,gender,hours-per-week,native-country,income,city
C10001,25,Private,11th,7,Never-married,Machine-op-inspct,Male,40,India,307000,Vizag
C10002,38,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Male,50,India,115000,Bengaluru
C10003,28,Local-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Male,40,India,188000,Vizag
C10004,44,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Male,40,India,468000,Ahmedabad
C10005,18,Private,Some-college,10,Never-married,Prof-specialty,Female,30,India,472000,Ahmedabad
C10006,34,Private,10th,6,Never-married,Other-service,Male,30,India,123000,Mumbai
C10007,29,Private,HS-grad,9,Never-married,Prof-specialty,Male,40,India,428000,Ahmedabad
C10008,63,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,32,India,448000,Vizag
C10009,24,Private,Some-college,10,Never-married,Other-service,Female,40,India,140000,Kolkata
C10010,55,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Male,10,India,142000,Lucknow
C10011,65,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Male,40,India,423000,Lucknow
C10012,36,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Male,40,India,425000,Delhi
C10013,26,Private,HS-grad,9,Never-married,Adm-clerical,Female,39,India,374000,Vizag
C10014,58,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Male,35,India,149000,Vizag
C10015,48,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Male,48,India,411000,Delhi
C10016,43,Private,Masters,14,Married-civ-spouse,Exec-managerial,Male,50,India,141000,Raipur
C10017,20,State-gov,Some-college,10,Never-married,Other-service,Male,25,India,214000,Raipur
C10018,43,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Female,30,India,229000,Ranchi
C10019,37,Private,HS-grad,9,Widowed,Machine-op-inspct,Female,20,India,435000,Patna
C10020,40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Male,45,India,242000,Vizag
