CUST_ID,TENURE,BALANCE_RANGE,PURCHASES_RANGE,ONEOFF_PURCHASES_RANGE,INSTALLMENTS_PURCHASES_RANGE,CASH_ADVANCE_RANGE,CREDIT_LIMIT_RANGE,PAYMENTS_RANGE,MINIMUM_PAYMENTS_RANGE,BALANCE_FREQUENCY_RANGE,PURCHASES_FREQUENCY_RANGE,ONEOFF_PURCHASES_FREQUENCY_RANGE,PURCHASES_INSTALLMENTS_FREQUENCY_RANGE,CASH_ADVANCE_FREQUENCY_RANGE,PRC_FULL_PAYMENT_RANGE,PURCHASES_TRX_RANGE,CASH_ADVANCE_TRX_RANGE,SCORE_RANGE
C10001,12,1,1,0,1,0,2,1,1,9,2,0,1,0,0,1,0,7
C10002,12,4,0,0,0,5,5,4,3,10,0,0,0,3,3,0,1,5
C10003,12,3,2,2,0,0,5,2,2,10,10,10,0,0,0,3,0,4
C10004,12,3,3,3,0,1,5,0,0,7,1,1,0,1,0,1,1,5
C10005,12,2,1,1,0,0,3,2,1,10,1,1,0,0,0,1,0,7
C10006,12,3,3,0,3,0,3,3,3,10,7,0,6,0,0,2,0,6
C10007,12,2,5,5,2,0,6,5,1,10,10,10,10,0,10,7,0,7
C10008,12,3,1,0,1,0,3,2,2,10,10,0,10,0,0,3,0,5
C10009,12,3,2,2,1,0,5,2,1,10,4,1,3,0,0,1,0,4
C10010,12,1,3,3,0,0,6,3,1,6,2,2,0,0,0,1,0,5
C10011,12,3,2,0,2,0,3,3,3,10,10,0,10,0,0,3,0,7
C10012,12,2,3,3,0,0,3,2,1,9,3,3,0,0,0,2,0,6
C10013,12,3,4,3,2,0,3,2,1,10,10,3,10,0,3,5,0,4
C10014,12,2,3,1,3,0,5,3,1,10,8,2,8,0,1,5,0,5
C10015,12,3,0,0,0,1,3,2,2,10,0,0,0,1,0,0,1,5
C10016,12,5,3,0,3,3,5,3,3,10,5,0,5,2,0,3,1,4
C10017,8,3,0,0,0,3,3,1,1,9,0,0,0,3,0,0,1,4
C10018,12,1,2,0,2,0,3,1,1,5,5,0,4,0,3,2,0,7
C10019,12,3,2,1,1,0,6,3,2,10,7,1,6,0,0,2,0,8
C10020,12,4,1,0,1,0,4,3,6,10,10,0,10,0,0,3,0,5
C10021,12,3,1,0,1,0,3,1,6,10,7,0,7,0,0,2,0,6
C10022,12,5,5,5,1,1,6,3,3,10,10,10,10,4,0,7,2,6
C10023,12,1,2,0,2,0,3,3,1,7,10,0,10,0,0,4,0,7
C10024,12,4,4,4,2,5,5,5,3,9,10,1,10,4,0,3,3,6
C10025,11,5,0,0,0,2,5,3,3,10,0,0,0,4,0,0,1,5
C10026,12,1,1,0,1,0,3,1,1,10,10,0,10,0,0,3,0,6
C10027,12,3,1,1,0,1,3,2,2,10,2,2,0,3,0,1,1,6
C10028,12,1,1,0,1,0,2,1,1,10,10,0,10,0,0,3,0,5
C10029,12,5,1,1,1,3,6,3,3,10,7,2,5,9,0,2,4,6
C10030,12,1,1,0,1,0,5,1,1,10,5,0,5,0,0,1,0,5
C10031,12,6,4,3,3,4,6,4,4,10,10,2,10,5,0,7,2,6
C10032,12,3,3,1,2,1,5,2,1,10,10,1,10,2,0,6,1,7
C10033,12,5,1,1,0,3,6,3,3,10,1,1,0,2,0,1,1,5
C10034,12,1,2,2,0,0,3,1,1,10,10,10,0,0,3,3,0,6
C10035,12,4,2,0,2,0,6,5,6,8,10,0,10,0,0,3,0,7
C10036,12,3,0,0,0,1,3,1,2,10,0,0,0,1,0,0,1,7
C10037,11,5,0,0,0,5,5,3,3,10,0,0,0,8,0,0,3,4
C10038,12,4,3,3,2,3,4,3,3,10,8,5,8,4,0,6,2,8
C10039,12,5,1,1,0,3,5,3,3,10,1,1,0,4,0,1,3,6
C10040,12,3,2,2,0,5,5,6,2,5,1,1,0,4,4,2,2,6
C10041,12,2,0,0,0,4,3,4,1,8,0,0,0,3,2,0,1,5
C10043,12,2,3,2,2,3,3,3,1,10,6,5,4,3,2,5,3,7
C10044,12,4,1,1,0,0,4,2,3,10,1,1,0,0,0,1,0,4
C10045,12,3,0,0,0,3,3,1,1,10,0,0,0,1,0,0,1,5
C10046,12,5,3,1,3,0,5,3,3,10,10,4,10,0,0,4,0,3
C10047,12,3,1,1,1,1,3,0,0,10,4,1,4,2,0,1,1,6
C10048,8,1,1,0,1,3,3,1,1,5,4,0,3,2,0,1,1,6
C10049,12,4,0,0,0,3,4,0,0,10,0,0,0,5,0,0,2,7
C10050,12,1,3,3,2,0,4,3,1,10,10,7,10,0,10,7,0,5
C10051,12,2,2,2,0,2,4,2,1,10,2,2,0,1,1,1,1,7
C10052,8,4,2,2,1,5,6,5,3,10,7,4,3,9,0,2,6,5
C10053,12,3,4,3,2,0,3,3,3,10,7,6,5,0,0,4,0,6
C10054,12,3,0,0,0,1,4,2,2,10,0,0,0,3,0,0,1,5
C10055,9,1,3,3,0,3,3,4,1,9,7,7,0,2,2,3,1,5
C10056,12,1,1,0,1,0,2,1,0,7,7,0,7,0,0,2,0,4
C10057,12,3,3,3,0,0,5,0,0,10,3,3,0,0,0,2,0,7
C10058,12,4,1,1,0,2,4,0,0,10,3,3,0,5,0,1,1,6
C10059,12,3,5,4,1,0,5,5,3,10,10,10,5,0,1,6,0,6
C10060,11,4,0,0,0,1,4,2,3,10,0,0,0,2,0,0,1,4
C10061,12,5,1,0,1,2,5,3,3,10,5,0,4,4,0,2,1,4
C10062,12,3,1,1,0,0,5,4,2,8,2,2,0,0,0,1,0,6
C10063,12,3,1,1,0,0,3,1,2,10,1,1,0,0,0,1,0,8
C10064,11,2,0,0,0,4,4,4,1,10,0,0,0,6,1,0,2,4
C10065,12,1,2,2,0,0,3,0,0,1,1,1,0,0,0,1,0,6
C10067,12,3,3,0,3,3,3,4,4,10,10,0,10,1,1,7,1,4
C10068,12,3,1,1,1,0,3,2,2,10,6,4,2,0,0,3,0,7
C10069,8,2,0,0,0,2,3,1,1,9,0,0,0,2,0,0,1,5
C10070,12,3,0,0,0,1,3,2,1,10,0,0,0,5,0,0,2,6
C10071,12,4,1,1,1,0,5,5,3,10,7,1,6,0,1,2,0,5
C10072,12,3,3,3,0,0,3,3,2,10,4,4,0,0,0,1,0,7
C10073,12,5,1,0,1,2,5,3,3,10,10,0,9,4,0,3,1,5
C10074,12,3,4,3,3,6,5,6,3,10,7,5,6,9,5,6,5,5
C10075,8,2,0,0,0,3,5,2,1,10,0,0,0,2,3,0,1,7
C10077,10,3,2,2,1,0,3,2,2,10,5,1,4,0,0,2,0,6
C10078,11,2,2,2,1,0,5,3,1,10,3,1,2,0,0,2,0,7
C10079,12,5,2,1,1,0,5,3,3,10,9,2,8,0,0,3,0,4
C10080,12,3,2,2,0,0,6,3,2,10,10,10,0,0,0,4,0,5
C10081,12,2,1,0,1,0,3,3,1,10,8,0,7,0,0,2,0,6
C10082,12,3,0,0,0,1,3,1,5,10,0,0,0,1,0,0,1,5
C10083,12,5,1,1,0,4,5,3,3,10,6,6,0,5,0,2,2,5
C10084,12,1,1,1,1,0,4,1,1,10,7,2,6,0,2,3,0,4
C10085,12,1,0,0,0,3,5,1,1,3,0,0,0,2,0,0,1,4
C10086,12,1,1,1,1,0,6,1,1,7,5,2,3,0,5,1,0,7
C10087,12,1,1,0,1,0,3,2,1,6,5,0,5,0,10,3,0,6
C10088,12,3,4,4,1,1,5,4,2,10,10,10,4,1,0,6,1,8
C10089,12,1,3,3,0,0,6,3,1,10,10,10,0,0,10,5,0,6
C10090,12,5,3,3,1,5,6,4,3,10,10,9,10,8,0,5,5,6
C10092,12,5,3,3,2,5,6,4,3,10,10,8,10,8,0,7,5,5
C10093,12,4,1,1,0,1,4,3,2,10,1,1,0,1,0,1,1,7
C10094,12,5,0,0,0,3,5,3,3,10,0,0,0,5,0,0,3,6
C10095,12,5,5,3,4,1,5,5,5,10,10,3,10,1,0,6,1,5
C10096,11,3,3,1,2,4,4,4,2,10,10,1,9,6,1,4,5,5
C10097,12,3,1,1,0,1,3,1,1,10,1,1,0,1,0,1,1,5
C10098,12,3,1,1,0,0,3,0,0,10,2,2,0,0,0,1,0,6
C10099,12,3,1,1,0,0,3,0,0,10,3,3,0,0,0,1,0,5
C10100,12,3,0,0,0,1,3,1,3,10,0,0,0,1,0,0,1,4
C10101,12,3,2,2,0,0,5,1,1,10,7,7,0,0,0,3,0,5
C10102,12,4,0,0,0,3,4,0,0,10,0,0,0,5,0,0,2,4
C10103,12,1,1,0,1,0,5,1,1,4,3,0,2,0,10,1,0,5
C10104,7,0,0,0,0,1,3,1,0,0,0,0,0,2,0,0,1,8
C10105,9,1,1,1,0,0,3,1,1,7,2,2,0,0,0,1,0,4
C10106,12,1,3,0,3,0,3,2,1,3,10,0,10,0,0,3,0,7
C10107,12,4,3,3,3,0,5,5,3,10,10,10,9,0,1,7,0,7
C10108,12,1,1,0,1,0,4,0,0,1,10,0,10,0,0,6,0,7
C10109,12,2,0,0,0,2,4,3,1,10,0,0,0,1,1,0,1,5
C10110,12,3,2,2,0,2,4,2,3,10,3,3,0,4,0,1,2,7
C10111,12,1,2,0,2,0,3,3,1,10,10,0,10,0,1,3,0,6
C10112,12,4,0,0,0,5,5,3,3,10,0,0,0,6,0,0,6,5
C10113,12,3,1,1,1,1,3,2,1,10,7,2,5,1,0,2,1,5
C10114,12,5,4,3,3,5,5,6,3,10,10,10,10,6,1,7,5,5
C10115,12,1,3,2,2,0,5,2,1,9,10,4,9,0,0,6,0,4
C10116,12,4,0,0,0,3,4,0,0,10,0,0,0,1,0,0,1,6
C10117,12,5,3,2,3,3,5,3,3,10,10,3,10,4,0,7,2,5
C10118,12,5,0,0,0,4,5,3,3,10,0,0,0,3,0,0,3,6
C10119,12,1,3,3,1,0,4,3,1,9,7,5,4,0,10,3,0,6
